cod_sku;sku_descricao;preco;custo_rep_producao;margem_alvo;campo_valor_customizado1;campo_valor_customizado2;campo_valor_customizado3;data_preco
242825;SAM GR;72,31;68,25;0,649960333;-4;1373.93;4.65;28/07/2024
243148;MAP GR;193,92;177,5;3,649904464;-1;3684.48;4.65;28/06/2024
242703;KLC GR;108,34;100,2;2,64992349;-2;2058.55;4.65;28/06/2024
243150;TSP GR;153,87;142,3;2,649933127;-2;2923.47;4.65;28/07/2024
245903;;85,04;78,65;2,650047654;-2;1615.82;4.65;28/07/2024
243153;UREIA GR;128,24;118,6;2,650036732;-2;2436.57;4.65;28/07/2024
243154;UREIA GR NBPT;134,94;124,6;2,800151338;-6;2563.79;8.8;28/07/2024
244842;40 00 00 5S;115,03;106,55;2,499954247;-3;2185.64;5.5;28/07/2024
245269;40 00 00 5S NBPT;122,16;112,8;2,800098234;-6;2320.99;8.8;28/07/2024
243151;30 00 20 C/OLEO;122,11;113,1;2,5;-3;2320;5.5;28/06/2024
244529;;124,43;115,25;2,499894252;-3;2364.1;5.5;28/06/2024
244852;;86,75;80,35;2,500288191;-3;1648.21;5.5;28/07/2024
244851;;93,84;86,65;2,799901286;-6;1782.92;8.8;28/07/2024
242824;;100,85;92,45;3,4998904;-2;1916.06;5.5;28/07/2024
245007;;106,89;98,7;2,7997991;-6;2030.86;8.8;28/07/2024
244565;;107,96;100;2,4999025;-3;2051.28;5.5;28/07/2024
243017;;113,21;104,75;2,599817752;-4;2150.92;6.6;28/07/2024
243026;02 20 20 C/OLEO;115,84;107,3;2,500193091;-3;2201.03;5.5;28/07/2024
243032;02 20 30 C/OLEO;129,5;119,95;2,499888235;-3;2460.51;5.5;28/07/2024
243036;02 23 23 C/OLEO;128,37;118,9;2,499825746;-3;2438.97;5.5;28/07/2024
243035;02 23 23 C/MICRO;133,69;123,7;2,599959056;-4;2540.04;6.6;28/07/2024
243045;;136,19;126,15;2,49991305;-3;2587.69;5.5;28/07/2024
243054;02 30 15 C/OLEO;136,36;126,3;2,500028949;-3;2590.77;5.5;28/07/2024
245082;;141,68;131,1;2,599935364;-4;2691.99;6.6;28/07/2024
243055;;142,94;132,4;2,500092051;-3;2715.9;5.5;28/07/2024
243059;04 17 27 C/OLEO;121,89;112,9;2,500107949;-3;2315.9;5.5;28/07/2024
244521;04 30 10 C/OLEO;134,79;124,85;2,500165949;-3;2561.03;5.5;28/07/2024
246083;;140,12;129,65;2,600085643;-4;2662.22;6.6;28/07/2024
243075;05 20 20 C/OLEO;122,97;113,9;2,4999893;-3;2336.41;5.5;28/07/2024
243079;05 20 30 C/OLEO;135,49;125,5;2,500038845;-3;2574.36;5.5;28/06/2024
243082;05 25 25 C/OLEO;142,02;131,55;2,499944413;-3;2698.46;5.5;28/06/2024
244994;;148,38;137,3;2,599936154;-4;2819.3;6.6;28/07/2024
243086;;142,13;131,65;2,499898167;-3;2700.51;5.5;28/06/2024
243095;;123,51;114,4;2,500138494;-3;2346.67;5.5;28/07/2024
243104;;129,18;119,65;2,500040744;-3;2454.36;5.5;28/06/2024
244535;;129,23;119,7;2,499816729;-3;2455.38;5.5;28/06/2024
245173;;142,4;131,9;2,49996304;-3;2705.64;5.5;28/06/2024
243118;09 25 15 C/OLEO;139,62;128;3,500009424;-2;2652.85;5.5;28/07/2024
246110;09 25 15 C/MICRO;144,17;133,4;2,600010222;-4;2739.22;6.6;28/06/2024
243115;09 23 29 C/OLEO;153,85;142,5;2,500102631;-3;2923.08;5.5;28/07/2024
243126;10 20 10 C/OLEO;119,89;111,05;2,500054874;-3;2277.95;5.5;28/07/2024
244503;10 20 20 C/OLEO;133,66;123,8;2,500108289;-3;2539.49;5.5;28/07/2024
243132;10 30 20 C/OLEO;161,89;149,95;2,500081277;-3;3075.9;5.5;28/07/2024
245172;;161,94;150;2,4999025;-3;3076.92;5.5;28/07/2024
245802;03 21 21 PERFORMA PLUS;147,66;136,35;2,80015398;-6;2805.56;8.8;28/08/2024
246045;;145,22;134,1;2,800026094;-6;2759.26;8.8;28/08/2024
245623;;156,22;144,25;2,800098379;-6;2968.11;8.8;28/08/2024
244896;;160,17;147,9;2,800003943;-6;3043.21;8.8;28/08/2024
244740;;161,47;149,1;2,799960885;-6;3067.9;8.8;28/08/2024
244224;07 18 27 MICRO ESSENTIALS S15 ;161,04;148,7;2,799975161;-6;3059.67;8.8;28/08/2024
244226;07 33 12 MICRO ESSENTIALS S9;177,71;164,1;2,799907598;-6;3376.54;8.8;28/08/2024
243113;#N/D;186,16;171,9;2,800081424;-6;3537.04;8.8;28/08/2024
243888;09 24 14 MICRO ESSENTIALS S15;167,05;154,25;2,800051672;-6;3173.87;8.8;28/08/2024
244810;10 18 18 MICRO ESSENTIALS S15;148,69;137,3;2,799900888;-6;2825.1;8.8;28/08/2024
245436;10 46 00 MICRO ESSENTIALS S9;206,9;191,05;2,800001018;-6;3931.07;8.8;28/08/2024
246058;;138,62;128;2,799820787;-6;2633.74;8.8;28/08/2024
246404;13 15 11 MICRO ESSENTIALS S15 PPLUS;133,2;123;2,79983879;-6;2530.86;8.8;28/08/2024
246050;;140,84;130,05;2,800147986;-6;2675.93;8.8;28/06/2024
245887;;158,17;146,05;2,799869557;-6;3005.14;8.8;28/06/2024
245888;;166,5;153,75;2,799992414;-6;3163.58;8.8;28/06/2024
242701;;166,61;153,85;2,800065706;-6;3165.64;8.8;28/06/2024
245750;03 23 19 4S YARABASA;147,39;136,1;2,799947151;-6;2800.41;8.8;28/06/2024
242702;27 00 00 5Ca 3S YARABELA;113,82;105,1;2,799935262;-6;2162.55;8.8;28/06/2024
242695;;200,45;185,1;2,799949588;-6;3808.64;8.8;28/06/2024
245749;;187,46;173,1;2,800043799;-6;3561.73;8.8;28/06/2024
246115;;175,82;162,35;2,799855113;-6;3340.53;8.8;28/06/2024
242433;;181,67;167,75;2,800110092;-6;3451.65;8.8;28/06/2024
243018;;121,83;112,5;2,799797824;-6;2314.81;8.8;28/06/2024
243295;;99,09;91,5;2,80020396;-6;1882.72;8.8;28/06/2024
246127;;144,85;133,75;2,8000843;-6;2752.06;8.8;28/06/2024
244517;;146,47;135,25;2,799936757;-6;2782.92;8.8;28/06/2024
243076;;137,54;127;2,800047452;-6;2613.17;8.8;28/06/2024
245911;;124;114,5;2,800120545;-6;2355.97;8.8;28/06/2024
245097;;145,12;134;2,79994197;-6;2757.2;8.8;28/06/2024
246132;;109,65;101,25;2,79984448;-6;2083.33;8.8;28/06/2024
245904;;73,91;68,25;2,79993164;-6;1404.32;8.8;28/06/2024
